The Forgotten Completion Marks,,,,
392,Marrow,Defeat Mom's Heart or It Lives! on Hard mode as The Forgotten,,FALSE
393,Slipped Rib,Defeat Isaac as The Forgotten,,FALSE
395,Jaw Bone,Defeat ??? as The Forgotten,,FALSE
394,Pointy Rib,Defeat Satan as The Forgotten,,FALSE
396,Brittle Bones,Defeat The Lamb as The Forgotten,,FALSE
403,Bound Baby,Defeat Mega Satan as The Forgotten,,FALSE
397,Divorce Papers,Complete the Boss Rush as The Forgotten,,FALSE
398,Hallowed Ground,Defeat Hush as The Forgotten,,FALSE
399,Finger Bone,Defeat Ultra Greed as The Forgotten,,FALSE
400,Dad's Ring,Defeat Ultra Greedier as The Forgotten,,FALSE
401,Book of the Dead,Defeat Delirium as The Forgotten,,FALSE
468,Bone Spurs,Defeat Mother as The Forgotten,,FALSE
469,Spirit Shackles,Defeat The Beast as The Forgotten,,FALSE
402,Bone Baby,Earn all Hard mode Completion Marks as The Forgotten,,FALSE
Tainted Forgotten Completion Marks,,,,
576,Polished Bone,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Forgotten",,FALSE
615,Golden Battery,Defeat Mega Satan as Tainted Forgotten,,FALSE
632,Soul of the Forgotten,Defeat Hush and Boss Rush as Tainted Forgotten,,FALSE
537,Death,Defeat Ultra Greedier as Tainted Forgotten,,FALSE
598,Decap Attack,Defeat Delirium as Tainted Forgotten,,FALSE
577,Hollow Heart,Defeat Mother as Tainted Forgotten,,FALSE
505,Isaac's Tomb,Defeat The Beast as Tainted Forgotten,,FALSE